GPSTime,easting,northing,altitude,vel_east,vel_north,vel_up,roll,pitch,heading,angvel_z,angvel_y,angvel_x
1630597330954834,623422.8440458962,4848820.472751827,153.7685055038389,0.0002463430978778,-0.0003905527302733,0.0001079103582055,-0.0153782984026822,-0.031890605188402,0.5578406734501149,-0.0004485128014564,-0.0022701156667808,0.0060871205614236
1630597331058472,623422.844031188,4848820.472759497,153.76850503777246,-0.00060514634207,-0.0002182156354711,0.0011245390758588,-0.0153534604478885,-0.0318467501538325,0.5578309997330706,-0.0011828246048456,0.010228905336732,-0.0081164441236046
1630597331162232,623422.8440341005,4848820.472751279,153.76850415901217,-0.0004678252680179,-3.69481968073769e-05,0.0002253614257031,-0.015379958250855,-0.031862062067786,0.5578176523583247,0.0005716421242633,-0.0048574115325509,0.0007480334478241
1630597331265869,623422.8440569497,4848820.472759984,153.76850568780722,-0.0001645398266282,0.0009457097641982,-0.0009516651237205,-0.0153511343690325,-0.0319272478910631,0.5577959158361661,0.0023243398749607,0.0015764277891189,0.0029329358209502
1630597331369629,623422.8440207172,4848820.472746708,153.76850581628233,-9.25180113441887e-06,2.0548271864915186e-07,0.0006272448739477,-0.0153941669165355,-0.031817063473619,0.5578075749321227,-0.0006256270759165,-0.000114859358072,0.0027923050312905
1630597331473389,623422.8440456699,4848820.47276084,153.76850542789992,0.001613317065317,-0.0005268024743221,0.0006231704370435,-0.0153516970943424,-0.0318916800367303,0.5577936490755899,0.0032474292723427,-0.0061316280131942,0.0132724013090577
1630597331577026,623422.8440355,4848820.472766032,153.7685045145894,0.0004275768348944,5.101784020125451e-05,-0.0006644489404725,-0.0153346721031397,-0.0318584207375114,0.5578054247044704,0.0009449386943515,0.0038357737391872,-0.0025381744540945
1630597331680908,623422.8440328635,4848820.47275686,153.76850564493512,-0.0009339142935357,-0.0002466927608488,-0.0013346081736047,-0.0153625010544987,-0.0318492854453284,0.5577893869937596,-0.0032823167620468,0.0031108174747501,-0.0008761232646787
1630597331784424,623422.8440519355,4848820.47275311,153.7685050711707,-0.0003291912109435,-0.0003616305139151,0.0009853069564582,-0.0153733455775542,-0.0319087433676885,0.5577982515553096,-0.0032516650521339,0.005133988785073,-0.0008241546223003
1630597331888184,623422.8440215492,4848820.472736969,153.7685028589113,-0.0001254345255157,-6.733717526797325e-05,0.0012638679504106,-0.0154246996328851,-0.0318172740155087,0.5577923298390514,-0.0015533973595428,0.0071719845383379,-0.0076542036294415
1630597331991943,623422.844052667,4848820.472744273,153.7685024997748,-0.0009618880884654,0.0005935427365241,-0.0004981514687451,-0.0154046892030119,-0.0319193611722399,0.5578018105967839,0.0009882380667758,-0.0027189145168911,0.0039483549064858
1630597332095581,623422.8440336369,4848820.472742573,153.7685046936867,-0.0002074794629686,0.0004654411273106,-0.0008144499672732,-0.0154060938990147,-0.0318534254684201,0.5577993458250552,-0.0028917823838976,0.0020333294977894,0.0008365333037658
1630597332199463,623422.8440357911,4848820.472743275,153.7685045184193,0.0009007629718159,0.00010564952855,0.0002558343471329,-0.0154074090605178,-0.0318636745562013,0.5578376344881977,0.0002486015603331,-0.0058787843161898,0.0089583903762847
1630597332303101,623422.8440482939,4848820.472736579,153.76850229031186,-0.0003519810258795,-0.0001407836584311,0.0005902240509215,-0.0154273943705081,-0.0318998122160262,0.5578420809717497,-0.0008419815919814,0.0056343334626778,-0.0015136448713233
